Local;Provincia;Parcela;pH;CE ;Fh;HR(%);Carb(%);Ca ;Mg ;K;Na ;RAS;Mn ;Zn ;Cu ;Fe ;P_(ppm);%MO;%Arcilla;%Limo;%Arena
110085Cadiz2;Cadiz;110085;7,57;0,1404;0,976;2,42;0;27629,40313;237,6170026;1178,830129;2285,265907;1,19;49,16;1,28;1,31;14,09;4,57;3,39;13,62;7,25;79,13
110085Cadiz5;Cadiz;110085;7,14;0,163;0,934;7,12;0;25115,22378;262,8015999;956,0772469;2235,973928;1,22;47,00;1,51;1,37;28,97;16,64;3,98;9,47;9,74;80,79
110094Cadiz9;Cadiz;110094;5,66;0,1394;0,904;10,63;50;107953,7996;232,3270035;1320,64877;1671,605111;0,44;23,06;0,45;3,19;11,51;5,04;4,64;30;32,35;37,64
110094Cadiz29;Cadiz;110094;7,47;0,1766;0,918;8,92;51;111848,5545;271,5750137;1406,097407;2199,017641;0,57;34,49;0,53;4,18;13,77;6,62;4,46;33,24;32,46;34,3
110158Cadiz11;Cadiz;110158;7,32;0,312;0,947;5,61;33,1;112232,7544;483,0074778;1755,451083;2267,864916;0,59;42,19;4,35;4,90;19,60;30,58;8,91;29,09;33,11;37,8
110158Cadiz34;Cadiz;110158;7,31;0,367;0,981;1,97;25,1;115654,7116;414,6836394;1515,13091;2670,053959;0,68;42,93;3,73;5,06;18,44;13,51;8,91;32,73;31,02;36,25
110160Cadiz3;Cadiz;110160;7,09;0,1849;0,906;12,31;0;37845,05063;352,6584832;2618,522331;1889,61248;0,84;100,28;0,93;3,53;32,50;4,79;6,32;43,02;29,72;27,26
110160Cadiz4;Cadiz;110160;7,12;0,228;0,89;10,38;0;36880,70783;370,1364201;2868,675266;2812,851038;1,26;77,36;1,39;3,77;19,05;7,99;12,36;45,23;27,44;27,33
110397Cadiz13;Cadiz;110397;7,29;0,352;0,922;14,96;24,5;107018,3458;498,1396593;2043,373672;1917,381784;0,51;70,25;2,86;11,28;29,51;21,13;10,86;23,53;20,7;55,77
110397Cadiz30;Cadiz;110397;7,29;0,365;0,87;8,5;54;108697,7668;460,7540984;1671,372831;2056,653822;0,54;82,29;1,95;11,77;25,38;22,46;12,41;18,53;20,89;60,58
140897Cordoba14;Cordoba;140897;6,07;0,0237;0,983;1,77;0;7758,798207;377,2326726;715,5082972;2970,293477;2,82;24,52;0,05;1,63;31,09;22,89;1,91;7,74;20,43;71,83
140897Cordoba37;Cordoba;140897;5,74;0,0265;0,983;1,74;0;7019,657638;359,4881277;757,2730421;2166,395162;2,16;43,17;0,11;2,44;39,73;10,73;1,92;5,92;20,96;73,12
140933Cordoba40;Cordoba;140933;6,41;0,0327;0,979;2,09;0;6397,365385;779,3153872;878,9062638;3869,833553;3,84;61,60;0,61;2,45;50,80;5,61;2,18;7,68;24,55;67,78
140933Cordoba55;Cordoba;140933;5,76;0,0337;0,98;2,05;0;7068,896522;736,1170101;782,6121148;2748,243713;2,63;60,35;0,64;2,78;48,17;9,01;2,26;5,67;26,41;67,92
141353Cordoba1;Cordoba;141353;7,35;0,1231;0,932;6,68;0;22138,3026;172,8196542;933,6105148;2117,306599;1,23;68,40;2,25;4,29;29,02;10,57;2,96;18,69;21,47;59,84
141353Cordoba6;Cordoba;141353;7,04;0,139;0,937;7,33;0;23270,35671;216,804383;1295,634286;2282,48424;1,29;54,93;0,67;2,39;23,21;2,27;2,08;12,81;20,73;66,46
141364Cordoba7;Cordoba;141364;6,27;0,0822;0,979;1,88;0;11910,30148;328,7460366;880,7145276;2350,887016;1,83;104,54;3,40;3,60;32,70;5,3;4,22;9,17;24,76;66,07
141364Cordoba21;Cordoba;141364;6,45;0,1098;0,982;2,18;0;11523,98868;214,5834684;1057,447222;1996,794521;1,59;60,97;4,52;4,40;20,05;2,89;3,85;8,78;20,77;70,46
141372Cordoba20;Cordoba;141372;6,53;0,0863;0,978;1,84;0;10134,71738;395,1234214;978,0088922;3397,219918;2,85;52,09;8,59;4,25;19,30;3,82;4,46;9,28;23,38;67,34
141372Cordoba39;Cordoba;141372;6,77;0,1176;0,982;2,25;0;15204,90905;411,7268898;905,1297108;2182,321235;1,51;78,44;3,41;4,24;12,38;5,77;5,15;10,86;21,15;67,99
272850Lugo16;Lugo;272850;3,87;0,0417;0,976;2,41;0;835,9166986;113,3353251;518,3698853;1836,708898;5,00;9,16;2,44;2,46;251,69;23;5,99;2,84;22,24;74,92
272850Lugo35;Lugo;272850;4,15;0,0495;0,933;7,16;0;743,0359515;128,5874218;574,3323913;2360,106422;6,65;23,49;1,73;3,26;241,40;38,26;5,48;5,7;17,59;76,71
272894Lugo8;Lugo;272894;4,64;0,096;0,967;3,41;0;4891,645961;305,4144553;745,03267;2236,944904;2,65;39,73;3,90;1,82;290,55;28,97;8,31;3,67;20,65;75,68
272894Lugo24;Lugo;272894;3,73;0,121;0,949;5,32;0;2876,104131;565,9331358;878,7251018;3440,237898;4,85;9,50;4,57;2,02;569,25;56,82;13,3;2,67;15,49;81,84
320550Ourense25;Ourense;320550;5,24;0,0413;0,979;2,18;0;4868,447123;258,1867474;753,9914877;1649,535276;1,97;56,24;0,18;2,29;74,72;3,59;4,34;3,22;31,35;65,44
320550Ourense49;Ourense;320550;5,9;0,0418;0,933;7,16;0;4446,901569;292,1884397;640,0748929;2566,250975;3,18;70,49;0,37;3,09;92,93;25,73;5,92;3,15;28,8;68,05
320575Ourense45;Ourense;320575;4,83;0,0618;0,933;7,85;0;4890,347613;260,9918663;1028,035657;5637,271705;6,73;131,90;2,62;3,26;162,91;58,42;5,15;4,01;20,76;75,22
320575Ourense51;Ourense;320575;5,09;0,0801;0,927;7,18;0;4898,693769;226,4971462;1258,040495;1903,774963;2,28;114,85;0,94;4,14;159,10;34,63;5,87;4,37;25,35;70,28
320602Ourense27;Ourense;320602;4,93;0,0276;0,936;6,51;0;1618,668572;121,4268793;617,4859747;2325,55261;4,75;27,72;0,46;1,88;98,86;19,92;5,4;1,74;13,38;84,88
320602Ourense46;Ourense;320602;4,9;0,0327;0,939;6,89;0;1528,918098;95,49208898;668,0339475;2113,041437;4,48;23,37;0,26;2,73;86,06;22,86;4,38;3,71;11,94;84,35
410143Sevilla42;Sevilla;410143;5,48;0,028;0,98;2,31;0;5126,044961;182,7850447;1441,915629;3541,707505;4,18;31,00;0,08;2,61;34,28;7,66;2,67;3,81;30,08;66,11
410143Sevilla53;Sevilla;410143;6,34;0,035;0,977;2,01;0;4301,489375;182,2653376;1680,890595;3551,806246;4,56;21,90;0,05;2,95;27,99;10,86;3,43;3,8;26,51;69,7
410162Sevilla17;Sevilla;410162;6,75;0,0772;0,932;7,29;0;11789,77097;360,5029602;849,4549528;1727,985811;1,35;73,63;0,37;6,87;21,80;3,48;2,65;6,41;23,17;70,42
410162Sevilla26;Sevilla;410162;6,44;0,0835;0,974;2,64;0;14615,9615;338,7217195;833,0107595;2270,979261;1,60;116,80;0,51;6,90;17,74;3,31;4,13;5,86;22,93;71,21
410273Sevilla22;Sevilla;410273;5,66;0,0313;0,982;1,83;0;5461,765716;175,819314;1061,151984;2164,609412;2,48;247,38;0,41;8,31;23,13;2,25;2,47;12,08;33,74;54,18
410273Sevilla31;Sevilla;410273;5,97;0,1044;0,929;7,63;0;12059,0978;228,1685333;1134,90908;2047,942359;1,60;261,13;2,14;12,23;55,62;3,53;2,46;6,4;28,99;64,61
410283Sevilla10;Sevilla;410283;6,86;0,0882;0,979;2,17;0;14759,99718;171,6432005;1098,976329;2050,495328;1,46;107,30;0,31;2,62;15,20;4,17;2,81;23,9;26,09;50
410283Sevilla38;Sevilla;410283;7,24;0,1165;0,977;2,31;0;15090,00148;167,7958969;1386,68186;2554,397394;1,79;126,08;0,73;3,27;26,03;14,03;3,97;13,68;31,09;55,23
410296Sevilla36;Sevilla;410296;5,07;0,0375;0,932;7,24;0;9568,276043;633,4247277;876,1643105;2844,304222;2,40;152,93;2,01;3,43;127,01;3,51;3,68;13,02;35,41;51,56
410296Sevilla54;Sevilla;410296;5,91;0,0419;0,932;7,27;0;6847,397761;464,8539579;1020,397279;1774,813961;1,77;78,50;0,56;3,43;43,58;7,48;2,42;15,06;35,67;49,27
450101Toledo23;Toledo;450101;5,32;0,01991;0,993;0,74;0;1741,169632;73,20440321;638,892388;2404,677984;4,85;21,79;0,12;1,61;16,28;2,7;1,47;1,82;11,09;87,09
450101Toledo44;Toledo;450101;6,29;0,0262;0,956;4,65;0;2059,460037;95,57710438;695,8504003;1819,377044;3,36;22,47;0,10;2,34;17,92;11,77;1,45;0,26;8,22;91,53
450176Toledo12;Toledo;450176;5,57;0,02;0,968;3,35;0;2734,029417;170,1844749;690,9365109;2079,853231;3,30;26,62;0,16;1,32;28,11;10,66;1,07;6,13;16,36;77,51
450176Toledo52;Toledo;450176;5,35;0,0226;0,993;0,71;0;3108,925595;166,5049739;793,0318475;3923,05611;5,87;22,72;0,00;2,42;12,57;13,87;0,99;6,28;4,46;89,26
450203Toledo57;Toledo;450203;5,25;0,0383;0,986;4,89;0;3253,341225;157,3301394;1325,801335;2725,943619;4,00;26,92;0,10;2,60;36,67;78,51;2,75;2,94;15,2;81,85
450203Toledo58;Toledo;450203;5,36;0,0468;0,953;1,42;0;2089,533176;105,4782121;1190,450482;2899,814915;5,31;15,81;0,69;2,69;64,95;142,99;3,27;4,05;11,12;84,83
450265Toledo28;Toledo;450265;5,7;0,0209;0,989;5,41;0;2152,435956;90,6531401;744,2873078;1754,404311;3,18;18,88;0,24;1,94;23,62;19,55;2,83;2,86;10,98;86,16
450265Toledo32;Toledo;450265;5,22;0,0257;0,949;1,1;0;3493,645567;115,9273171;817,8477818;2234,15485;3,20;15,48;0,04;2,02;41,66;18,02;2,51;4;13,41;82,59
451383Toledo15;Toledo;451383;6,72;0,0497;0,931;4,94;0;7165,123382;196,5877518;801,3458721;2516,496359;2,53;16,51;1,04;1,72;27,50;4,03;4,14;5,96;23,9;70,13
