"","Provincia","Estadillo","Sp","ABiomass_3","ABiomass_2","AB3_Mgha","AB2_Mgha","A_RGR","B_BP_Mgha","N_Trees","Tree_dens","CoorXp","CoorYp","Arid_Koppen","Arid_Emberg","Arid_Dm","MAT","MAP","T_Cold_M","PET","Aridity4","Arid_Pal","ai_chelsa","grad_Kop","grad_Emb","grad_Dm","grad_MAT","grad_MAP","grad_TCM","grad_pet","grad4","grad_Pal","grad_chelsa"
"1","Cadiz","0085","Quercus ilex",6199.23063782053,5346.20262081662,31.5724224161043,27.2279863950745,0.000278001080363546,0.39494872918453,1,0.04,307991,4080036,4.1978021978022,5.39985903274778,1.77179962894249,149,764,36,1150,6660,0.68,71.1010604251357,3,2,2,8,4,7,7,3,8,8
"2","Cadiz","0094","Quercus ilex",5354.97891575653,5325.30644721294,45.2915385959897,43.4696957581257,0.000644049394480548,0.165622076169453,9,0.62,272971,4073965,4.12765957446809,5.21366860090264,1.78682447212692,155,776,44,1133,6804,1.08,80.4124131309038,3,2,2,8,5,8,7,3,10,10
"3","Cadiz","0158","Quercus ilex",7311.84997855188,6764.73651529004,44.3448258178849,41.3464952089124,0.000367051791987062,0.272575509906594,4,0.213333333333333,279011,4076959,4.18817204301075,5.31760264275602,1.77206551410373,153,779,41,1139,6892,0.68,80.2178291828289,3,2,2,8,5,7,7,3,8,10
"4","Cadiz","0160","Quercus ilex",6005.86167264154,5903.02839591767,45.2884074908272,42.4566247122736,0.000371516840533767,0.25743479805033,9,0.62,277014,4075980,4.01578947368421,5.05191312290673,1.73499783977988,157,763,46,1143,6657,1.08,75.089470311256,2,2,2,8,4,8,7,3,10,9
"5","Cadiz","0397","Quercus ilex",997.251423222676,881.318452871863,25.5248733384002,22.2435825826456,0.000466819012157625,0.298299159614049,9,1.1,252978,4052053,4.04145077720207,5.04977375565611,1.87820559127357,160,780,57,1061,7332,1.08,81.1358000828421,2,2,2,8,5,8,5,3,10,10
"6","Cordoba","0897","Quercus ilex",3214.7993839846,2939.61848483081,45.4801078750735,41.587094506643,0.000461229778250329,0.353910306220958,1,0.0666666666666667,333994,4214038,3.17676767676768,4.11308270676692,1.06950962388628,165,629,31,1315,4828,0.6,76.3519740008752,2,1,1,9,3,7,9,2,7,9
"7","Cordoba","0933","Quercus ilex",8394.07375541895,7322.51745831304,71.8356553365667,62.1368763366892,0.000650944941087782,0.881707181807039,4,0.213333333333333,319995,4209987,3.41666666666667,4.4585798816568,1.15960474448039,159,656,26,1306,5015,0.51,73.9170716666166,2,2,1,8,4,6,9,2,7,8
"8","Cordoba","1353","Quercus ilex",1964.28204616055,1658.38261188919,31.0307636027923,29.2755050499535,0.000563615076857319,0.159568959348979,4,0.333333333333333,345969,4203987,3.16582914572864,4.07392747701736,1.06792331293543,166,630,33,1317,4783,0.3,74.0878873743337,2,1,1,9,3,7,9,2,6,8
"9","Cordoba","1364","Quercus ilex",1135.81603252206,811.668473680968,17.9112683729506,22.491632432123,0.000401802167131562,-0.416396732652029,9,1.1,347957,4201958,3.135,4.01252213508728,1.05664065791469,167,627,35,1320,4742,0.3,72.0116639045849,2,1,1,9,3,7,10,2,6,8
"10","Cordoba","1372","Quercus ilex",3880.13614525362,4062.21067628311,28.7300146702475,27.3707941433105,0.000371076710964986,0.123565502448819,4,0.213333333333333,343953,4199988,2.9951690821256,3.78714763497372,1.01826304033636,174,620,40,1338,4633,0.3,76.7637436085493,2,1,1,10,3,7,10,2,6,9
"11","Lugo","2894","Quercus ilex",95.609422553775,60.6509139683492,12.1733697783861,7.72231421770728,0.000309450470544092,0.404641414607168,1,0.2,647000,4689000,5.06134969325153,8.19617467840217,2.27241426800716,130,825,19,996,8343,-0.42,60.365027090105,3,3,3,6,5,6,4,4,1,6
"12","Ourense","0575","Quercus ilex",967.485619859956,780.546585532659,13.6871216841766,11.0424753371533,0.00028285051934574,0.240422395183933,1,0.0666666666666667,664000,4697000,4.69753086419753,7.70339157245632,2.10476822657374,129,761,17,1004,7629,-0.42,57.3237846018386,3,3,2,6,4,6,5,4,1,5
"13","Ourense","0580","Quercus ilex",865.007021938165,619.568061331621,21.5120111014391,15.2759973018568,0.000486267642257004,0.566910345416578,4,0.333333333333333,674000,4697000,4.42592592592593,7.3478468410106,1.95474372955289,129,717,16,1010,7138,-0.47,61.4629943031781,3,3,2,6,4,6,5,3,1,6
"14","Ourense","0602","Quercus ilex",549.826671603692,431.239959774803,7.77845624262079,9.42119081995656,0.000189808111122695,-0.149339507030524,4,0.333333333333333,653000,4693000,4.84146341463415,7.90608719034654,2.19482529854047,131,794,20,1003,7956,-0.42,64.6771725759271,3,3,3,6,5,6,5,4,1,7
"15","Sevilla","0143","Quercus ilex",3245.05948877666,2893.05134823846,36.1455829781316,30.7702244915202,0.000472195407652568,0.488668953328311,9,0.62,761944,4207990,3.5752688172043,4.8055610528399,1.30343597483291,153,665,25,1251,5339,0.61,74.1235013571283,2,2,1,8,4,6,8,2,7,8
"16","Sevilla","0162","Quercus ilex",12416.3918724253,9569.15348205569,66.4395398505541,50.2431642363675,0.000388220943784739,1.47239778310787,4,0.28,754982,4204939,3.55376344086022,4.78395966319764,1.29944169222301,153,661,26,1245,5365,0.61,68.8409441029669,2,2,1,8,4,6,8,2,7,7
"17","Sevilla","0273","Quercus ilex",1751.06703271351,1009.44121129352,28.6263419420905,27.4226712072694,0.000609715328792947,0.109424612256466,4,0.333333333333333,265996,4209011,3.53191489361702,4.68827404479578,1.2428870919437,155,664,25,1280,5218,0.51,72.7409794196893,2,2,1,8,4,6,9,2,7,8
"18","Sevilla","0283","Quercus ilex",1552.92897727188,1154.76295890919,7.90900234514809,5.88115946303445,9.47282834821185e-05,0.184349352919422,1,0.04,274984,4208008,3.76502732240437,5.0320564516129,1.3193925815285,150,689,19,1266,5458,0.51,69.2147298098861,2,2,1,8,4,6,9,2,7,7
"19","Sevilla","0296","Quercus ilex",8434.7547080653,7425.46219990439,62.048330407785,51.3297290984878,0.000483446004247414,0.974418300845205,9,0.92,255977,4206013,3.81318681318681,5.12087743518945,1.36624931096937,149,694,19,1253,5538,0.51,72.0346999335381,2,2,2,8,4,6,8,2,7,8
"20","Toledo","0101","Quercus ilex",652.055407582626,459.4467383617,20.7555682810318,18.9351111838895,0.000491709478024124,0.165496099740211,4,0.6,366000,4449000,2.30357142857143,3.89973474801061,0.820767322008017,135,387,6,1120,3446,0.16,71.2627662366441,1,1,1,6,1,5,6,1,5,8
"21","Toledo","0176","Quercus ilex",1823.88120984571,1305.66744329885,37.033335533486,25.1890306858275,0.000606355848325144,1.07675498615077,9,1.1,378000,4448000,1.96153846153846,3.23323482609684,0.680038859363392,149,357,20,1167,3059,0.08,75.5335218492775,1,1,1,8,1,6,7,1,4,9
"22","Toledo","0203","Quercus ilex",4531.03252894463,3874.77612256061,36.1097282805042,29.7177447678613,0.000373918886567848,0.581089410240265,4,0.213333333333333,311000,4440000,1.94117647058824,3.07397240307064,0.690048474479612,154,363,26,1202,3028,0.25,71.6421396452604,1,1,1,8,1,6,8,1,5,8
"23","Toledo","0265","Quercus ilex",4356.17056635306,3825.56682041568,39.7470245208359,44.6118305953638,0.000574585869914484,-0.442255097684351,9,0.62,329000,4442000,2.12429378531073,3.46230532952525,0.763219324063737,144,376,16,1167,3221,0.25,69.8215183638633,1,1,1,7,1,6,7,1,5,8
"24","Toledo","1383","Quercus ilex",300.269683985866,191.744317158812,18.5279990374942,13.6153850414169,0.000422779748727651,0.446601272370657,4,0.6,429000,4370000,2.55555555555556,4.07303465291017,0.868165924984107,138,437,3,1190,3697,0.16,73.8669967966157,1,1,1,7,2,5,7,1,5,8
"25","Zamora","0125","Quercus ilex",4597.96237933252,5086.28608111308,62.0904312598952,64.3884407491928,0.000924043584095995,-0.229800948929761,9,0.62,730000,4669000,4.22535211267606,7.40565317035905,1.76221804511278,109,600,-9,1016,5875,-0.45,64.5592426984433,3,3,2,4,3,4,5,3,1,7
"26","Zamora","0299","Quercus ilex",1067.99078601099,862.732602929786,15.1089789301755,12.2051696426409,0.000310193285326679,0.290380928753458,1,0.0666666666666667,738000,4656000,3.66666666666667,6.41573971078977,1.50862068965517,114,539,-6,1038,5192,-0.45,66.6918509571805,2,2,2,5,3,4,5,2,1,7
"27","Zamora","0300","Quercus ilex",1112.01656065402,863.325098494263,18.7571610388599,17.9396081280869,0.000436677065823774,0.0817552910773011,9,1.1,742000,4656000,3.52027027027027,6.19741176470588,1.44577644577645,115,521,-5,1043,4995,-0.45,63.7140493406797,2,2,2,5,3,4,5,2,1,6
"28","Zamora","0525","Quercus ilex",686.728976495651,550.303319071028,21.859262259722,17.5166987060219,0.000519829751207788,0.434256355370015,1,0.1,739000,4651000,3.65753424657534,6.36126539483217,1.51429219600726,113,534,-6,1040,5096,-0.36,65.5187064765327,2,2,2,5,3,4,5,2,2,7
"29","Zamora","0813","Quercus ilex",618.69596783752,476.295108577933,25.8896782113813,14.6266372720681,0.000661082567694287,1.12630409393131,9,1.1,736000,4608000,3.22875816993464,5.4,1.30085582620145,120,494,0,1064,4642,-0.36,69.5775067934669,2,2,1,5,2,5,6,2,2,8
